account,name,link
@LauraWatkins@astrodon.social,Laura Watkins,https://astrodon.social/@LauraWatkins
@sraymond_astro@astrodon.social,Sean Raymond,https://astrodon.social/@sraymond_astro
@ProfDoubleJ@astrodon.social,James S. Jenkins,https://astrodon.social/@ProfDoubleJ
@PeterMelchior@scicomm.xyz,Peter Melchior,https://scicomm.xyz/@PeterMelchior
@mustapipa@scicomm.xyz,Mikko Tuomi,https://scicomm.xyz/@mustapipa
@misaladino@astrodon.social,Martha Irene Saladino,https://astrodon.social/@misaladino
@Birnstiel@astrodon.social,Til Birnstiel,https://astrodon.social/@Birnstiel
@AURA@astrodon.social,AURA,https://astrodon.social/@AURA
@ominazzoli@scicomm.xyz,Olivier Minazzoli,https://scicomm.xyz/@ominazzoli
@mattkenworthy@mastodon.social,Matthew Kenworthy,https://mastodon.social/@mattkenworthy
@HIprocessor@astrodon.social,Benjamin Winkel,https://astrodon.social/@HIprocessor
@kellylepo@astrodon.social,Kelly Lepo,https://astrodon.social/@kellylepo
@j824h_arXiv_astro_ph@mathstodon.xyz,arXiv astro-ph feed,https://mathstodon.xyz/@j824h_arXiv_astro_ph
@jwuphysics@astrodon.social,John Wu,https://astrodon.social/@jwuphysics
@timlichtenberg@fediscience.org,Tim Lichtenberg,https://fediscience.org/@timlichtenberg
@actualdrdoctor@mathstodon.xyz,Zoheyr Doctor,https://mathstodon.xyz/@actualdrdoctor
@sarahkendrew@mastodon.online,Sarah Kendrew,https://mastodon.online/@sarahkendrew
@planet4589@mastodon.social,Jonathan C. McDowell,https://mastodon.social/@planet4589
@ThomasConnor@astrodon.social,Thomas Connor,https://astrodon.social/@ThomasConnor
@ec_euclid@astrodon.social,Euclid Consortium,https://astrodon.social/@ec_euclid
@VRubinObs@astrodon.social,Rubin Observatory,https://astrodon.social/@VRubinObs
@sundogplanets@mastodon.social,Sam Lawler,https://mastodon.social/@sundogplanets
@Silvio_S_Cerri@astrodon.social,Silvio Cerri,https://astrodon.social/@Silvio_S_Cerri
@nbatalha@mastodon.social,Natalie Batalha,https://mastodon.social/@nbatalha
@tmegadeath@astrodon.social,Tom Megeath,https://astrodon.social/@tmegadeath
@astroml@astrodon.social,Marie-Luise Steinmeyer,https://astrodon.social/@astroml
@carobertemes@astrodon.social,Caroline Bertemes,https://astrodon.social/@carobertemes
@juliengirard@astrodon.social,Julien Girard,https://astrodon.social/@juliengirard
@justtheletteru@astrodon.social,Vivian U,https://astrodon.social/@justtheletteru
@jknodlseder@astrodon.social,Jürgen Knödlseder,https://astrodon.social/@jknodlseder
@NatureAstronomy@astrodon.social,Nature Astronomy,https://astrodon.social/@NatureAstronomy
@AstroHoss@astrodon.social,Hossam Aly,https://astrodon.social/@AstroHoss
@markmccaughrean@mastodon.social,Mark McCaughrean,https://mastodon.social/@markmccaughrean
@mpsgoettingen@astrodon.social,MPS Göttingen,https://astrodon.social/@mpsgoettingen
@jradavenport@mastodon.social,James Davenport,https://mastodon.social/@jradavenport
@imartividal@astrodon.social,Ivan Marti-Vidal,https://astrodon.social/@imartividal
@ognimaeb@astrodon.social,Beatriz Mingo,https://astrodon.social/@ognimaeb
@boud@framapiaf.org,Boud Roukema,https://framapiaf.org/@Boud
@stephenserjeant@mas.to,Stephen Serjeant,https://mas.to/@stephenserjeant
@VirStrakul@mstdn.social,David Rodriguez,https://mstdn.social/@VirStrakul
@eamonn_kerins@astrodon.social,Eamonn Kerins,https://astrodon.social/@eamonn_kerins
@jaztrophysicist@astrodon.social,François Rincon,https://astrodon.social/@jaztrophysicist
@sydonahi@mastodon.lol,Heloise Stevance,https://mastodon.lol/@sydonahi
@AstroWoodrum@astrodon.social,Charity Woodrum,https://astrodon.social/@AstroWoodrum
@knud@mastodon.social,Knud Jahnke,https://mastodon.social/@knud
@GalacticRAVE@astrodon.social,Matthias Steinmetz,https://astrodon.social/@GalacticRAVE
@AlexSanterne@astrodon.social,Alexandre Santerne,https://astrodon.social/@AlexSanterne
@jfg_astro@astrodon.social,Jean-François Gonzalez,https://astrodon.social/@jfg_astro
@sebastienmaret@scholar.social,Sébastien Maret,https://scholar.social/@sebastienmaret
